id,likes,retweets,replies
1591832326392385537,22,2,0
1591830302757949441,0,0,0
1591830059698032644,0,0,0
1591827639781695492,0,0,0
1591826713126006784,0,0,0
1591824973043490816,0,0,0
1591823204271767555,3,0,0
1591822772912918528,0,0,0
1591821538902278145,1,0,2
1591821428806258688,0,0,0
1591819675658248192,0,0,0
1591819287437901824,2,1,0
1591819235399204864,1,0,0
1591818430058856450,0,0,0
1591816801171943424,8,1,0
1591815155788251136,0,0,0
1591813642613407746,1,0,0
1591813167964823552,0,0,0
1591813019449032705,2,0,1
1591812144060076032,1,0,0
1591810096723640320,0,0,0
1591808104181559296,4,0,0
1591807797062209543,0,0,0
1591807740053426176,0,0,0
1591804046784200705,0,0,0
1591793016880218113,0,0,0
1591790249650393090,0,0,0
1591789354548084736,0,0,0
1591787675211558913,0,0,0
1591787059483934722,4,0,2
1591786564857765891,0,0,0
1591786440551276544,0,0,0
1591785555431346179,0,0,0
1591785168595226626,2,0,0
1591784920564867074,63,9,1
1591781601423241217,0,0,0
1591781580191985665,3,0,1
1591781509706530817,0,0,0
1591780500301123594,0,0,0
1591779609166905344,0,0,0
1591779222288470016,0,0,0
1591776705383116803,3,0,2
1591776529717010441,0,0,0
1591775584581029888,0,0,0
1591775350014771200,1,0,1
1591768636871835649,0,1,1
1591767129027756032,1,0,0
1591763871290871809,0,0,1
1591762000391983104,0,0,0
1591761509746896898,3,0,0
1591761508505358338,0,0,0
1591752496376315904,1,0,1
1591749724129869824,0,0,0
1591747564512378880,0,0,0
1591747400125026306,0,0,0
1591747398078005254,0,0,0
1591741190327922691,2,0,0
1591738313219923968,3,0,0
1591735492693086208,132,44,31
1591734471014817792,0,0,0
1591734155972313089,0,0,0
1591732241654198273,0,0,0
1591730871312130051,43,1,1
1591728149813166080,0,0,0
1591727439058993152,0,0,0
1591726512000172033,0,0,0
1591724859922550792,0,0,0
1591723706467774464,0,0,0
1591723639371886595,71,12,24
1591723056464277505,1,0,1
1591720001261682689,1,1,0
1591718110461321226,0,0,0
1591715976009363456,8,0,0
1591715819616026624,0,0,0
1591715501377470464,5,0,0
1591715481546887168,24,7,2
1591714122286112770,0,0,0
1591710703991357441,0,0,0
1591704757999124481,0,0,0
1591703390802911232,3,2,0
1591697313449316352,1,1,0
1591696388554833920,0,0,0
1591696310197186561,27,0,0
